,,"This is the list of HEVC Standard Essential Patents included in the HEVC Advance Patent Portfolio License as of January 2022. The evaluation of patents by the independent Patent Evaluator is ongoing, and this list will be updated as new patents are determined to be HEVC Standard Essential Patents. This list identifies the number of claims of each patent evaluated to be an HEVC Standard Essential Patent. Each listed patent may include additional essential claims that have not yet been evaluated. The sections of the HEVC/H.265 standard are identified by way of example only. Other sections of the standard may also be relevant to each corresponding patent.",,,,,,,
Count (Claims),Count (Patents),Profile,Country,Patent Number,Claim Number,Category,Licensor,Est. Exp. Date,"Representative HEVC/H.265 Sections (Version 2, unless otherwise specified)"
10212,8209,Main/Main10,JP,JP6317418,16,Decoder,Huawei,20320820,"8.4.2, 8.4.3, 9.3.3.7"
10213,8210,Main/Main10,JP,JP6321091,1,Decoder,Docomo,20310714,"8.4.4.2.6, Tables 8-4, 8-5, 8-6"
10214,8211,Main/Main10,JP,JP6322693,1,Decoder,KTCORP,20320906,"7.4.7.1, 8.5.3.2.6, 8.5.3.2.7, 8.5.3.2.8, 8.5.3.2.9"
10215,8212,Main/Main10,JP,JP6323543,1,Decoder,NEC,20311228,"7.3.8.6, 8.5.3.2.2, 8.5.3.2.3"
10216,8213,Main/Main10,JP,JP6324481,1,Encoder,Canon,20321107,"8.7.3.1, 7.3.8.3, 7.4.9.3"
10217,8214,Main/Main10,JP,JP6334634,1,Decoder,DLLC,20330117,"7.4.9.5, 8.4.2, 8.4.3, 9.3.3"
10218,8215,Main/Main10,JP,JP6334742,1,Decoder,LGE,20320321,"8.1.1, 8.5.3.2.1, 8.5.3.2.6, 8.5.3.2.7, 8.5.3.3.1, 8.6.7"
10219,8216,Main/Main10,JP,JP6338621,15,Decoder,Canon,20320112,"7.3.8.4, 7.3.8.5, 7.3.8.8, 7.3.8.10, 7.4.9.8, 7.4.9.10, 8.4.1, 8.6.1"
10220,8217,Main/Main10,JP,JP6341426,1,Decoder,Sun Patent,20330827,"0.7, 3.35, 7.3.8.8, 7.3.8.10, 7.3.8.11, 7.4.9.8, 8.6.4, 8.6.4.1, 8.6.7"
10221,8218,Main/Main10,JP,JP6345594,1,Decoder,DIAB,20330926,"7.3.2.3.1, 7.3.6.1, 7.3.6.2, 7.4.3.3.1, 7.4.7.2, 8.3.2, 8.3.4"
10222,8219,Main/Main10,JP,JP6347860,1,Decoder,Mitsubishi,20300527,"6.3.2, 7.3.8.4, 7.3.8.5, 7.4.9.4, 7.4.9.5, 7.4.9.6, 8.1.1, 8.5.3.1, 8.5.3.2.1, 8.5.3.2.2, 8.5.3.2.3, 8.5.3.2.7, 9.3.2.2, 9.3.4.2.1, 9.3.4.2.2, 9.3.4.3.1"
10223,8219,Main/Main10,JP,JP6347860,3,Encoder,Mitsubishi,20300527,"6.3.2, 7.3.8.4, 7.3.8.5, 7.4.9.4, 7.4.9.5, 7.4.9.6, 8.1.1, 8.5.3.1, 8.5.3.2.1, 8.5.3.2.2, 8.5.3.2.3, 8.5.3.2.7, 9.3.2.2, 9.3.4.2.1, 9.3.4.2.2, 9.3.4.3.1"
10224,8220,Main/Main10,JP,JP6356723,1,Decoder,GEVC,20320618,"7.4.7.1, 8.6.1, 9.3.1, 9.3.2.2, 9.3.3.1, 9.3.4.1, 9.3.4.3.1, 9.3.4.3.2.1, 9.3.4.3.2.2"
10225,8220,Main/Main10,JP,JP6356723,9,Encoder,GEVC,20320618,"7.4.7.1, 8.6.1, 9.3.1, 9.3.2.2, 9.3.3.1, 9.3.4.1, 9.3.4.3.1, 9.3.4.3.2.1, 9.3.4.3.2.2"
10226,8221,Main/Main10,JP,JP6356762,2,Encoder,Toshiba,20290618,"7.3.6.1, 7.3.8.6, 7.4.7.1, 7.4.9.6, 8.1.1, 8.5.1, 8.5.3.2.2, 8.5.3.2.3, 8.5.3.2.7, 8.5.3.3.1, 9.3.3.1, 9.3.3.2"
10227,8222,Main/Main10,JP,JP6358353,1,Decoder,NEC,20320308,"8.4.4, 8.4.4.1, 8.6.2, 8.6.3, 8.6.1, 6.4.1, 8.4.4.2, 8.4.4.2.1"
10228,8223,Main/Main10,JP,JP6364110,1,Decoder,DLLC,20310506,"7.2, 7.3.2.2.1, 7.3.8.5, 7.4.3.2.1, 7.4.9.5, 8.4.4.1, 8.4.4.2.1, 8.4.4.2.3, 8.4.4.2.4, 8.6.7, 9.3.1"
10229,8224,Main/Main10,JP,JP6364447,1,Decoder,"ETRI, UICGKHU",20331011,"6.4.2, 7.4.3.3.1, 8.5.3.1, 8.5.3.2.2, 8.5.3.2.3"
10230,8224,Main/Main10,JP,JP6364447,2,Encoder,"ETRI, UICGKHU",20331011,"6.4.2, 7.4.3.3.1, 8.5.3.1, 8.5.3.2.2, 8.5.3.2.3"
10231,8225,Main/Main10,JP,JP6364448,1,Decoder,"ETRI, UICGKHU",20331011,"6.4.2, 7.4.3.3.1, 8.5.3.1, 8.5.3.2.2, 8.5.3.2.3"
10232,8225,Main/Main10,JP,JP6364448,2,Encoder,"ETRI, UICGKHU",20331011,"6.4.2, 7.4.3, 8.5.3"
10233,8226,Main/Main10,JP,JP6364449,1,Decoder,"ETRI, UICGKHU",20331011,"6.4.2, 7.4.3.3.1, 8.5.1, 8.5.3.1, 8.5.3.2.2, 8.5.3.2.3"
10234,8226,Main/Main10,JP,JP6364449,2,Encoder,"ETRI, UICGKHU",20331011,"6.4.2, 7.4.3, 8.5.3"
10235,8227,Main/Main10,JP,JP6364450,1,Decoder,"ETRI, UICGKHU",20331011,"6.4.2, 7.4.3.3.1, 8.5.1, 8.5.3.1, 8.5.3.2.2, 8.5.3.2.3"
10236,8227,Main/Main10,JP,JP6364450,2,Encoder,"ETRI, UICGKHU",20331011,"6.4.2, 7.4.3, 8.5.3"
10237,8228,Main/Main10,JP,JP6376260,1,Encoder,JVCKENWOOD,20321214,"8.5.3.2.2, 8.5.3.2.3, 8.5.3.2.8, Fig. 8-3"
10238,8229,Main/Main10,JP,JP6388690,1,Decoder,DLLC,20320620,"7.3.8.4, 7.3.8.5, 7.3.8.8, 7.3.8.10, 7.4.3.3.1, 7.4.9.10, 8.4.1, 8.6.1, 8.6.2, 8.6.3"
10239,8230,Main/Main10,JP,JP6396566,5,Encoder,Toshiba,20311017,"7.3.6.2, 7.4.3.2.1, 7.4.3.2.2, 7.4.7.3"
10240,8231,Main/Main10,JP,JP6397555,7,Decoder,Docomo,20311221,"8.4.4.1, 8.4.4.2.1, 8.4.4.2.4"
10241,8232,Main/Main10,JP,JP6399182,1,Encoder,NEC,20311228,"8.5.3.2.2, 8.5.3.2.3, 8.5.3.2.8"
10242,8233,Main/Main10,JP,JP6399183,1,Encoder,NEC,20311228,"8.5.3.2.2, 8.5.3.2.3, 8.5.3.2.8"
10243,8234,Main/Main10,JP,JP6399184,1,Encoder,NEC,20311228,"8.5.3.2.2, 8.5.3.2.3, 8.5.3.2.8"
10244,8235,Main/Main10,JP,JP6405432,1,Decoder,Docomo,20300316,"3.40, 6.3.1, 6.4.2, 7.3.8.6, 7.3.8.10, 7.3.8.11, 7.4.9.6, 8.5.3.2.1, 8.5.3.2.2, 8.5.3.2.3, 8.5.4, 8.5.4.2, 8.6.2, 8.6.7"
10245,8236,Main/Main10,JP,JP6406408,1,Decoder,NEC,20311228,"8.5.3.2.2, 8.5.3.2.3, 8.5.3.2.8"
10246,8237,Main/Main10,JP,JP6406409,1,Decoder,NEC,20311228,"8.5.3.2.2, 8.5.3.2.3, 8.5.3.2.8"
10247,8238,Main/Main10,JP,JP6407388,1,Encoder,Canon,20330628,"7.4.9.3, 9.3.3.2, 9.3.4.2.1, 9.3.4.3.2, Tables 7-8, 9-38, 9-39, 9-43"
10248,8239,Main/Main10,JP,JP6408681,1,Decoder,Docomo,20320924,"6.3.1, 7.3.8.5, 7.3.8.10, 7.3.8.11, 7.4.9.5, 8.4.2, 8.4.4.2, 8.4.4.2.1, 8.4.4.2.3, 8.4.4.2.6, 8.6.2, 8.6.5, 8.6.7"
10249,8240,Main/Main10,JP,JP6410853,9,Decoder,Canon,20320410,"6.3.1, 6.4.1, 6.4.2, 7.3.2.3.1, 8.5.3.2.3, 8.5.3.2.7, D.2.30, D.3.29"
10250,8241,Main/Main10,JP,JP6411565,1,Decoder,"LGE, KAIST",20281016,"7.1, 7.3.8.6, 7.4.9.6, 8.1.1, 8.5.3.2.1, 8.5.3.2.6, 8.5.3.2.7, 8.5.3.3.1"
10251,8242,Main/Main10,JP,JP6411615,1,Decoder,Docomo,20311220,"7.3.8.6, 7.4.9.6, 8.5.3.2.6, 8.5.3.2.7, Fig. 8-3"
10252,8243,Main/Main10,JP,JP6414307,1,Decoder,NEC,20311228,"8.5.3.2.2, 8.5.3.2.3, 8.5.3.2.8"
10253,8244,Main/Main10,JP,JP6415637,1,Decoder,Canon,20310309,"7.3.8.4, 7.4.9.10, 8.6.1"
10254,8245,Main/Main10,JP,JP6416156,1,Decoder,"ETRI, UICFKAU",20320914,"7.3.8.6, 7.4.9.6, 8.5.3.2.6, 8.5.3.2.7, 8.5.3.2.8"
10255,8245,Main/Main10,JP,JP6416156,3,Encoder,"ETRI, UICFKAU",20320914,"7.2, 7.3.8.6, 7.4.9.6, 8.5.3.2.6, 8.5.3.2.7, 8.5.3.3.1"
10256,8246,Main/Main10,JP,JP6417021,1,Decoder,IBEX,20320316,"8.4.2, 8.4.4.2.1, 8.4.4.2.2, 8.4.4.2.3, 8.4.4.2.4, 8.4.4.2.5, 8.4.4.2.6, Table 8-4"
10257,8247,Main/Main10,JP,JP6417022,1,Decoder,IBEX,20320316,"8.4.2, 8.4.4.2.1, 8.4.4.2.2, 8.4.4.2.3, 8.4.4.2.4, 8.4.4.2.5, 8.4.4.2.6, Table 8-4"
10258,8248,Main/Main10,JP,JP6418300,1,Decoder,JVCKENWOOD,20321030,"7.3.6.1, 7.3.8.6, 8.5.3.1, 8.5.3.2.2, 8.5.3.2.3, 8.5.3.2.5, 8.5.3.2.8, 8.5.3.3, 9.3.3.1, 9.3.3.2, Tables 9-38, 9-39"
10259,8249,Main/Main10,JP,JP6419269,1,Encoder,Canon,20321107,"7.4.9.3, 8.7.3.2, Table 9-38"
10260,8250,Main/Main10,JP,JP6419934,5,Encoder,Toshiba,20320627,"7.3.6.2, 7.4.3.2.1, 7.4.3.2.2, 7.4.7.3"
10261,8251,Main/Main10,JP,JP6422922,1,Decoder,ETRI,20320620,"8.4.4.2.1, 8.4.4.2.5, 8.6.7"
10262,8252,Main/Main10,JP,JP6425777,11,Decoder,Canon,20330118,"7.3.8.11, 7.4.9.11"
10263,8253,Main/Main10,JP,JP6426227,1,Decoder,Huawei,20340404,"7.3.8.11, 7.4.9.11, 8.6.2, 8.6.3, 8.6.4.1, 9.3.3.1, 9.3.4.1"
10264,8254,Main/Main10,JP,JP6426648,7,Decoder,Docomo,20320702,"3.40, 7.4.3.2.1, A, A4.1"
10265,8255,Main/Main10,JP,JP6429960,1,Decoder,LGE,20311123,"7.3.8.5, 7.3.8.6, 7.4.9.5, 7.4.9.6, 8.5.3.2.2, 8.5.3.3.1, 9.3.3.6"
10266,8256,Main/Main10,JP,JP6430045,3,Decoder,Docomo,20320706,"3.12, 3.20, 3.86, 3.127, 3.148, 3.149, 7.3.1.1, 7.3.1.2, 7.4.2.2, 8.3.2, Table 7-1"
10267,8257,Main/Main10,JP,JP6431943,5,Decoder,GEVC,20310413,"6.3.2, 7.3.2.2.1, 7.3.8.4, 7.3.8.5, 7.3.8.8, 7.3.8.10, 7.3.8.11, 7.4.3.2.1, 7.4.9.4, 7.4.9.5, 7.4.9.8, 7.4.9.11"
10268,8257,Main/Main10,JP,JP6431943,13,Encoder,GEVC,20310413,"6.3.2, 7.3.2.2.1, 7.3.8.4, 7.3.8.5, 7.3.8.8, 7.3.8.10, 7.3.8.11, 7.4.3.2.1, 7.4.9.4, 7.4.9.5, 7.4.9.8, 7.4.9.11"
10269,8258,Main/Main10,JP,JP6431944,5,Decoder,GEVC,20310413,"6.3.2, 7.3.8.4, 7.3.8.8, 7.3.8.10, 7.4.9.8"
10270,8258,Main/Main10,JP,JP6431944,13,Encoder,GEVC,20310413,"6.3.2, 7.3.8.4, 7.3.8.8, 7.3.8.10, 7.4.9.8"
10271,8259,Main/Main10,JP,JP6437494,1,Decoder,"ETRI, KAIST",20311004,"7.3.8.5, 7.3.8.8, 7.4.9.5, 7.4.9.8"
10272,8260,Main/Main10,JP,JP6443570,1,,JVCKENWOOD,,"6.2, 7.3.8.5, 7.4.3.2.1, 7.4.9.5, 8.4.2, 8.4.3, 8.4.4.1, 8.4.4.2.6, Figs. 8-1, 8-2, Tables 6-1, 8- 2, 8-3, 8-5"
10273,8261,Main/Main10,JP,JP6445623,2,Decoder,ETRI,20330121,"7.3.4, 7.4.5, 8.6.3"
10274,8262,Main/Main10,JP,JP6449203,1,Decoder,ETRI,20330118,"7.3.8.11, 8.5.3.2.1, 8.5.3.2.6, 8.5.3.3.1, 8.6.3, 8.6.4.1, 8.6.7"
10275,8262,Main/Main10,JP,JP6449203,2,Encoder,ETRI,20330118,"7.3.8.11, 8.5.3.2.1, 8.5.3.2.6, 8.5.3.3.1, 8.6.3, 8.6.4.1"
10276,8263,Main/Main10,JP,JP6463521,1,Encoder,Mitsubishi,20320605,"6.3.1, 6.3.2, 7.2, 7.3.6.1, 7.3.8.5, 7.3.8.10, 7.4.7.1, 7.4.9.5, 7.4.9.11, 8.4.4.1, 8.4.4.2.1, 8.5.2, 8.6.3, 8.6.4.1, 8.6.7, 8.7.1, 8.7.2.1, 8.7.2.2, 8.7.2.3, 8.7.2.4, 8.7.2.5.1, 8.7.2.5.2, 8.7.2.5.3, 8.7.2.5.4, 8.7.2.5.6, 8.7.2.5.7, 9.3.1"
10277,8263,Main/Main10,JP,JP6463521,2,Decoder,Mitsubishi,20320605,"6.3.1, 6.3.2, 7.2, 7.3.6.1, 7.3.8.5, 7.3.8.10, 7.4.7.1, 7.4.9.5, 7.4.9.11, 8.4.4.1, 8.4.4.2.1, 8.5.2, 8.6.3, 8.6.4.1, 8.6.7, 8.7.1, 8.7.2.1, 8.7.2.2, 8.7.2.3, 8.7.2.4, 8.7.2.5.1, 8.7.2.5.2, 8.7.2.5.3, 8.7.2.5.4, 8.7.2.5.6, 8.7.2.5.7, 9.3.1"
10278,8264,Main/Main10,JP,JP6467030,1,Decoder,Docomo,20320622,"5.8, 7.4.3.2, 8.5.3.2, 8.5.3.3.3.1, 8.5.3.3.3.2, 8.5.3.3.4.2, 8.5.4, 8.6.5, Fig. 8-4, Table 8-8"
10279,8265,Main/Main10,JP,JP6479060,1,Decoder,GEVC,20320112,"7.3.8.11, 7.4.9.10, 7.4.9.11, 9.3.1, 9.3.3.10, 9.3.4.2.1, 9.3.4.2.5"
10280,8265,Main/Main10,JP,JP6479060,22,Encoder,GEVC,20320112,"7.3.8.11, 7.4.9.10, 7.4.9.11, 9.3.1, 9.3.3.10, 9.3.4.2.1, 9.3.4.2.5"
10281,8266,Main/Main10,JP,JP6479237,4,Decoder,Docomo,20310714,8.4.4.2.6
10282,8267,Main/Main10,JP,JP6484740,2,Decoder,Docomo,20310714,8.4.4.2.6
10283,8268,Main/Main10,JP,JP6486528,2,Decoder,Docomo,20311215,"5.8, 7.4.3.2, 8.5.3.2, 8.5.3.3.3.1, 8.5.3.3.3.2, 8.5.3.3.4.2, 8.5.4, 8.6.5, Fig. 8-4, Table 8-8"
10284,8269,Main/Main10,JP,JP6487002,1,Decoder,Toshiba,20311108,"6.2, 7.4.9.6, 7.4.9.10, 8.1.1, 8.5.3.1, 8.5.3.2.2, 8.5.3.3.3.1, 8.5.3.3.4.3, 8.6.2, 8.6.3, 8.6.7"
10285,8270,Main/Main10,JP,JP6490264,1,Decoder,Canon,20321107,"8.7.3, 8.7.3.1, 7.3.8.3, 7.4.9.3"
10286,8271,Main/Main10,JP,JP6490272,9,Decoder,Canon,20320416,"7.4.5, 7.3.4, 7.4.3.2.1, 7.4.5, 6.5.3"
10287,8272,Main/Main10,JP,JP6490276,1,Decoder,Canon,20321107,"8.7.3, 8.7.3.1, 7.3.8.3, 7.4.9.3"
10288,8273,Main/Main10,JP,JP6492047,1,Decoder,GEVC,20320618,"7.3.8.9, 7.4.9.9, 8.5.3.2.1, 9.3.3.1, 9.3.4.1, 9.3.4.2.1, 9.3.4.3.4"
10289,8273,Main/Main10,JP,JP6492047,16,Encoder,GEVC,20320618,"7.3.8.9, 7.4.9.9, 8.5.3.2.1, 9.3.3.1, 9.3.4.1, 9.3.4.2.1, 9.3.4.3.4"
10290,8274,Main/Main10,JP,JP6492147,1,Decoder,DLLC,20311219,"7.3.6.1, 7.3.8.6, 7.4.7.1, 7.4.9.6, 8.1.1, 8.3.5, 8.5.1, 8.5.3.2.1, 8.5.3.2.2, 8.5.3.2.6, 8.5.3.2.9, 8.5.3.3.1, 8.6.2, 8.6.7"
10291,8275,Main/Main10,JP,JP6494675,1,,Canon,,"8.5.3.2.5, 8.5.3.2.6, 8.5.3.2.7"
10292,8276,Main/Main10,JP,JP6495359,1,Decoder,ETRI,20330118,"7.4.9.11, 8.1.1, 8.4.4.2.1, 8.4.4.2.3, 8.4.4.2.6, 8.6.7"
10293,8276,Main/Main10,JP,JP6495359,2,Encoder,ETRI,20330118,"7.4.9.11, 8.1.1, 8.4.4.2.1, 8.4.4.2.3, 8.4.4.2.6, 8.6.7"
10294,8277,Main/Main10,JP,JP6496802,1,Decoder,Huawei,20320622,"7.4.3.2.1, 7.4.3.2.2, 7.4.3.3.2, 7.4.9.3, 8.1.1, 8.7.1, 8.7.3.1, 8.7.3.2, 9.3.3.1, 9.3.3.2"
10295,8278,Main/Main10,JP,JP6497423,1,Decoder,NEC,20320105,"7.2, 7.4.3.2.1, 7.3.8.5, 7.4.9.5, 8.5.1, 9.3.1, Table 9-45"
10296,8279,Main/Main10,JP,JP6513120,1,Decoder,Canon,20320912,8.4.2
10297,8280,Main/Main10,JP,JP6513261,1,Decoder,Canon,20320112,"8.4.1, 7.4.3.3.1, 8.6.1, 7.4.9.4, 7.3.8.4, 7.3.8.5, 7.3.8.8, 7.3.8.10, 7.4.9.8, 7.4.9.10"
10298,8281,Main/Main10,JP,JP6514307,2,Encoder,Toshiba,20290618,"7.3.6.1, 7.3.8.6, 7.4.7.1, 7.4.9.6, 8.1.1, 8.5.1, 8.5.3.2.2, 8.5.3.2.3, 8.5.3.2.7, 8.5.3.3.1, 9.3.3.1, 9.3.3.2"
10299,8282,Main/Main10,JP,JP6517274,1,Decoder,LGE,20321105,"7.3.8.5, 7.4.9.5, 8.1, 8.4.1, 8.5.1, 8.7.2.1, 8.7.2.4, 8.7.2.5.1"
10300,8282,Main/Main10,JP,JP6517274,14,Encoder,LGE,20321105,"7.3.8.5, 7.4.9.5, 8.1, 8.4.1, 8.5.1, 8.7.2.1, 8.7.2.4, 8.7.2.5.1"
10301,8283,Main/Main10,JP,JP6530467,1,Encoder,Huawei,20330121,"7.3.8.5, 8.4.2"
10302,8283,Main/Main10,JP,JP6530467,9,Decoder,Huawei,20330121,"7.3.8.5, 7.4.9.5, 8.4.2, 9.3.3.1"
10303,8284,Main/Main10,JP,JP6535780,2,Decoder,Docomo,20310714,"6.3.2, 7.4.9.5, 7.4.9.6, 8.1.1, 8.5.1, 8.5.3.1, 8.5.3.2.1, 8.5.3.2.2, 8.5.3.2.3, 8.5.3.2.7, 8.5.3.3.1, 8.5.4.1, 8.6.7, 8.7.1"
10304,8285,Main/Main10,JP,JP6541763,1,,Canon,,"7.3.8.11, 7.4.5, 7.4.9.11, 8.6.2, Table 7-5"
10305,8286,Main/Main10,JP,JP6542831,1,Decoder,GEVC,20330121,"7.3.8.11, 7.4.9.10, 7.4.9.11, 9.3.1, 9.3.3.10"
10306,8286,Main/Main10,JP,JP6542831,10,Encoder,GEVC,20330121,"7.3.8.11, 7.4.9.10, 7.4.9.11, 9.3.1, 9.3.3.10"
10307,8287,Main/Main10,JP,JP6545770,1,Decoder,LGE,20320921,"7.3.6.1, 7.3.7, 7.4.8, 8.3.2, 8.3.4, 8.5.1, 8.5.2, 8.5.3.2.7"
10308,8287,Main/Main10,JP,JP6545770,7,Encoder,LGE,20320921,"7.3.6.1, 7.3.7, 7.4.8, 8.3.2, 8.3.4, 8.5.1, 8.5.2, 8.5.3.2.7"
10309,8288,Main/Main10,JP,JP6545838,1,Decoder,KTCORP,20320906,"3.124, 7.3.6.1, 7.4.3.2.1, 7.4.7.1, 8.3.5, 8.5.3.2.8, 8.5.3.2.9"
10310,8289,Main/Main10,JP,JP6549279,10,Encoder,"ETRI, UICGKHU",20331011,"6.4.2, 7.4.3, 7.4.3.3.1, 8.5.3.1, 8.5.3.2.2, 8.5.3.2.3"
10311,8290,Main/Main10,JP,JP6550429,1,Decoder,ETRI,20320131,"7.3.8.11, 7.4.9.11, 8.1.1, 8.3.5, 8.5.1, 8.5.3.1, 8.5.3.2.1, 8.5.3.2.6, 8.5.3.2.8, 8.5.3.2.9, 8.5.3.3.1, 8.5.3.3.2, 8.5.4.1, 8.5.4.2, 8.6.2, 8.6.3, 8.6.4.1, 8.6.7, 9.1, 9.3.1"
10312,8290,Main/Main10,JP,JP6550429,2,Encoder,ETRI,20320131,"7.3.8.11, 7.4.9.11, 8.1.1, 8.3.5, 8.5.1, 8.5.3.1, 8.5.3.2.1, 8.5.3.2.6, 8.5.3.2.8, 8.5.3.2.9, 8.5.3.3.1, 8.5.3.3.2, 8.5.4.1, 8.5.4.2, 8.6.2, 8.6.3, 8.6.4.1, 8.6.7, 9.1, 9.3.1"
10313,8291,Main/Main10,JP,JP6553221,1,Encoder,LGE,20320330,"7.3.8.5, 7.4.9.5, 7.4.9.11, 8.4.3, 8.4.4.2.1, 8.6.7, 8.7.2.1, 9.3.3.7, 9.3.4.2.1, 9.3.4.3.1"
10314,8292,Main/Main10,JP,JP6553691,9,Encoder,"ETRI, UICGKHU",20321108,"6.4.2, 7.4.3.3.1, 8.5.3.2.2, 8.5.3.2.3"
10315,8293,Main/Main10,JP,JP6556903,1,Encoder,ETRI,20330416,"7.3.1.1, 7.2.1.2, 7.3.6.1, 7.3.7, 7.4.2.2, 7.4.7.1, 7.4.8, 8.3.2"
10316,8294,Main/Main10,JP,JP6556904,1,Encoder,ETRI,20330416,"7.3.1.1, 7.2.1.2, 7.3.6.1, 7.3.7, 7.4.2.2, 7.4.7.1, 7.4.8, 8.3.2"
10317,8295,Main/Main10,JP,JP6556905,1,Encoder,ETRI,20330416,"7.3.1.1, 7.2.1.2, 7.3.6.1, 7.3.7, 7.4.2.2, 7.4.7.1, 7.4.8, 8.3.2"
10318,8296,Main/Main10,JP,JP6556906,1,Encoder,ETRI,20330416,"7.3.1.1, 7.2.1.2, 7.3.6.1, 7.3.7, 7.4.2.2, 7.4.7.1, 7.4.8, 8.1.3, 8.3.2"
10319,8297,Main/Main10,JP,JP6556907,1,Encoder,ETRI,20330416,"7.3.1.1, 7.2.1.2, 7.3.6.1, 7.3.7, 7.4.2.2, 7.4.7.1, 7.4.8, 8.3.2"
10320,8298,Main/Main10,JP,JP6559309,1,Decoder,Docomo,20310929,"7.2, 7.3.8.6, 8.1.1, 8.1.3, 8.3.1, 8.5.1, 8.5.3.1, 8.5.3.2.1, 8.5.3.2.2, 8.5.3.2.4, 8.5.3.2.8, 8.5.3.2.9, 8.5.3.3.1, 8.5.4.1, 8.6.7, 9.3.1"
10321,8299,Main/Main10,JP,JP6560393,1,Decoder,GEVC,20320618,"7.4.7.1, 8.6.1, 9.3.1, 9.3.2.2, 9.3.3.1, 9.3.4.1, 9.3.4.3.1, 9.3.4.3.2.1, 9.3.4.3.2.2"
10322,8299,Main/Main10,JP,JP6560393,16,Encoder,GEVC,20320618,"7.4.7.1, 8.6.1, 9.3.1, 9.3.2.2, 9.3.3.1, 9.3.4.1, 9.3.4.3.1, 9.3.4.3.2.1, 9.3.4.3.2.2"
10323,8300,Main/Main10,JP,JP6563557,1,Decoder,DIAB,20310930,"7.4.7.1, 8.3.5, 8.5.3.2.6, 8.5.3.2.7, 8.5.3.2.8, 8.5.3.2.9"
10324,8301,Main/Main10,JP,JP6574010,1,Decoder,ETRI,20310411,"8.1.1, 8.4.4.2.1, 8.4.4.2.3, 8.4.4.2.5"
10325,8301,Main/Main10,JP,JP6574010,2,Encoder,ETRI,20310411,"8.4.4.2.1, 8.4.4.2.3, 8.4.4.2.5"
10326,8302,Main/Main10,JP,JP6574011,1,Decoder,ETRI,20310411,"8.1.1, 8.4.4.2.1, 8.4.4.2.3, 8.4.4.2.5"
10327,8302,Main/Main10,JP,JP6574011,2,Encoder,ETRI,20310411,"8.4.4.2.1, 8.4.4.2.3, 8.4.4.2.5"
10328,8303,Main/Main10,JP,JP6574012,1,Decoder,ETRI,20310411,"8.1.1, 8.4.4.2.1, 8.4.4.2.3, 8.4.4.2.5"
10329,8303,Main/Main10,JP,JP6574012,2,Encoder,ETRI,20310411,"8.4.4.2.1, 8.4.4.2.3, 8.4.4.2.5"
10330,8304,Main/Main10,JP,JP6580630,1,Decoder,"ETRI, UICGKHU",20330416,"8.4.1, 7.4.9.11, 7.3.8.11, 8.6.4.1"
10331,8304,Main/Main10,JP,JP6580630,3,Encoder,"ETRI, UICGKHU",20330416,"7.3.8.11, 7.4.9.10, 7.4.9.11, 8.4.1, 8.4.2, 8.4.3, 8.4.4.2.6, 8.6.3, 8.6.4.1, 8.6.4.2"
10332,8305,Main/Main10,JP,JP6580631,1,Decoder,"ETRI, UICGKHU",20330416,"8.4.1, 7.4.9.11, 7.3.8.11, 8.6.4.1"
10333,8305,Main/Main10,JP,JP6580631,3,Encoder,"ETRI, UICGKHU",20330416,"7.3.8.11, 7.4.9.10, 7.4.9.11, 8.4.1, 8.4.2, 8.4.3, 8.4.4.2.6, 8.6.3, 8.6.4.1, 8.6.4.2"
10334,8306,Main/Main10,JP,JP6580632,1,Decoder,"ETRI, UICGKHU",20330416,"8.4.1, 7.4.9.11, 7.3.8.11, 8.6.4.1"
10335,8306,Main/Main10,JP,JP6580632,3,Encoder,"ETRI, UICGKHU",20330416,"7.3.8.11, 7.4.9.10, 7.4.9.11, 8.4.1, 8.4.2, 8.4.3, 8.4.4.2.6, 8.6.3, 8.6.4.1, 8.6.4.2"
10336,8307,Main/Main10,JP,JP6587076,1,Encoder,Sun Patent,20320622,"7.2, 7.3.8.5, 7.3.8.9, 7.4.9.5, 7.4.9.9, 9.3.1, 9.3.2.2, 9.3.4.1, 9.3.4.2.1, 9.3.4.3.1"
10337,8308,Main/Main10,JP,JP6588523,1,Decoder,LGE,20320420,"7.4.9.5, 8.1.1, 8.4, 8.4.2, 8.4.4.2.1, 8.4.4.2.2, 8.4.4.2.6, 8.6.7"
10338,8308,Main/Main10,JP,JP6588523,9,Encoder,LGE,20320420,"7.4.9.5, 8.4.2, 8.4.4.2.1, 8.4.4.2.2, 8.4.4.2.6, 8.6.7"
10339,8309,Main/Main10,JP,JP6591015,1,Decoder,Canon,20330628,"7.4.9.3, 9.3.3.2, 9.3.4.2.1, 9.3.4.3.2, Tables 7-8, 9-38, 9-39, 9-43"
10340,8310,Main/Main10,JP,JP6591018,8,Decoder,Canon,20320410,"6.3.1, 7.3.8.10, 7.4.7.1, 8.6.1, Fig. 6-4"
10341,8311,Main/Main10,JP,JP6591019,8,Decoder,Canon,20320410,"6.3.1, 7.3.8.10, 7.4.7.1, 8.6.1, Fig. 6-4"
10342,8312,Main/Main10,JP,JP6591020,8,Decoder,Canon,20320410,"6.3.1, 7.3.8.10, 7.4.7.1, 8.6.1, Fig. 6-4"
