,,"This is the list of HEVC Standard Essential Patents included in the HEVC Advance Patent Portfolio License as of January 2022. The evaluation of patents by the independent Patent Evaluator is ongoing, and this list will be updated as new patents are determined to be HEVC Standard Essential Patents. This list identifies the number of claims of each patent evaluated to be an HEVC Standard Essential Patent. Each listed patent may include additional essential claims that have not yet been evaluated. The sections of the HEVC/H.265 standard are identified by way of example only. Other sections of the standard may also be relevant to each corresponding patent.",,,,,,,
Count (Claims),Count (Patents),Profile,Country,Patent Number,Claim Number,Category,Licensor,Est. Exp. Date,"Representative HEVC/H.265 Sections (Version 2, unless otherwise specified)"
40,37,Main/Main10,AL,AL6863,1,Decoder,Samsung,20310405,"3.32, 3.34, 3.35, 3.44, 3.104, 6.2, 6.3.1, 6.3.2, 7.2, 7.3.8.1, 7.3.8.2, 7.3.8.4, 7.3.8.5, 7.4.3.2.1, 7.4.9.2, 7.4.9.4, 7.4.9.5, 8.4.1, 8.4.2, 8.4.3, 8.4.4.1, 8.4.4.2.1, 8.4.4.2.6, Figs. 8-1, 8-2, Tables 6-1, 7-10, 8-1, 8-2, 8-3, 8-5"
41,38,Main/Main10,AL,AL6917,,,Samsung,,See Note
42,39,Main/Main10,AL,AL6918,,,Samsung,,See Note
43,40,Main/Main10,AL,AL6920,,,Samsung,,See Note
44,41,Main/Main10,AL,AL6973,,,Samsung,,See Note
45,42,Main/Main10,AL,AL6974,,,Samsung,,See Note
46,43,Main/Main10,AL,AL6975,1,Decoder,Samsung,20310114,"3.25, 3.32, 3.35, 3.44, 3.165, 3.168, 6.3.1, 7.3.8.2, 7.3.8.4, 7.3.8.5, 7.3.8.8, 7.3.8.10, 7.3.8.11, 7.4.9.4, 7.4.9.5, 8.4.4.2.1, 8.5.2, 8.6.3, 8.6.4, 8.6.4.1, 8.6.7, Fig. 6-4, Table 7-10"
47,44,Main/Main10,AL,AL6976,1,Decoder,Samsung,20310114,"3.25, 3.32, 3.35, 3.44, 3.165, 3.168, 6.3.1, 7.2, 7.3.8.2, 7.3.8.4, 7.3.8.5, 7.3.8.8, 7.3.8.10, 7.3.8.11, 7.4.3.2, 7.4.3.2.1, 7.4.9.4, 7.4.9.5, 8.5.2, 8.6.3, 8.6.4, 8.6.4.1, 8.6.7, Fig. 6-4, Table 7-10"
48,45,Main/Main10,AL,AL6977,1,Decoder,Samsung,20310114,"3.25, 3.32, 3.35, 3.44, 3.165, 3.168, 6.3.1, 7.3.8.2, 7.3.8.4, 7.3.8.5, 7.3.8.8, 7.3.8.10, 7.3.8.11, 7.4.9.4, 7.4.9.5, 7.4.9.8, 8.4.4.2, 8.4.4.2.1, 8.5.2, 8.6.3, 8.6.4, 8.6.4.1, 8.6.7, Fig. 6-4, Table 7-10"
49,46,Main/Main10,AL,AL7003,,,Samsung,,See Note
50,47,Main/Main10,AL,AL7067,,,Samsung,,See Note
51,48,Main/Main10,AL,AL7070,1,Decoder,Samsung,20310114,"3.25, 3.32, 3.35, 3.44, 3.165, 3.168, 6.3.1, 7.3.8.2, 7.3.8.4, 7.3.8.5, 7.3.8.8, 7.3.8.10, 7.3.8.11, 7.4.9.4, 7.4.9.5, 7.4.9.8, 8.4.4.2.1, 8.5.2, 8.6.3, 8.6.4, 8.6.4.1, 8.6.7, Fig. 6-4, Table 7-10"
52,49,Main/Main10,AL,AL7114,1,Decoder,Samsung,20330611,"6.3.1, 7.1, 7.2, 7.3.6.1, 7.3.8.2, 7.3.8.3, 7.4.3.2.1, 7.4.7.1, 7.4.9.3, 8.1.1, 8.7.1, 8.7.3.1, 8.7.3.2, 9.3.1, 9.3.2.1, 9.3.2.2, 9.3.4.1, 9.3.4.2.1"
53,50,Main/Main10,AL,AL7130,,,Samsung,,See Note
54,51,Main/Main10,AL,AL7223,,,Samsung,,See Note
55,52,Main/Main10,AL,AL7288,,,Samsung,,See Note
56,53,Main/Main10,AL,AL7324,,,Samsung,,See Note
57,54,Main/Main10,AL,AL7529,1,Decoder,Samsung,20301208,"1, 3, 4, 6.2, 7.1, 7.3.8.2, 7.3.8.4, 7.3.8.5, 7.3.8.8, 7.4.1, 7.4.9.2, 7.4.9.4, 7.4.9.5, 7.4.9.8, 8.1.1, 8.5.1, 8.5.2, 8.5.3.1, 8.6.2"
58,55,Main/Main10,AL,AL7553,1,Decoder,Samsung,20310817,"7.3.2.2.1, 7.3.8.5, 7.3.8.6, 7.3.8.8, 7.4.3.2.1, 7.4.9.5, 7.4.9.8, 8.4.1, 8.4.4.1, 8.5.1, 8.6.2, 8.6.4.1"
59,56,Main/Main10,AL,AL7555,1,Decoder,Samsung,20310817,"7.3.2.2.1, 7.3.8.5, 7.3.8.6, 7.3.8.8, 7.4.3.2.1, 7.4.9.5, 7.4.9.8, 8.4.1, 8.4.4.1, 8.5.1, 8.6.2, 8.6.4.1"
60,57,Main/Main10,AL,AL7600,,,Samsung,,See Note
61,58,Main/Main10,AL,AL7603,,,Samsung,,See Note
62,59,Main/Main10,AL,AL7642,,,Samsung,,See Note
63,60,Main/Main10,AL,AL7671,,,Samsung,,See Note
64,61,Main/Main10,AL,AL7672,1,Decoder,Samsung,20310707,"6.4.2, 7.3.8.5, 7.3.8.6, 7.4.9.5, 7.4.9.6, 8.1, 8.5.3.2.2, 8.5.3.2.3, 8.5.3.2.7, 8.5.3.3, 8.6.7"
65,62,Main/Main10,AL,AL7673,,,Samsung,,See Note
66,63,Main/Main10,AL,AL7703,,,Samsung,,See Note
